ip,hostname,os,critical,high,medium,low,total,risk_score,last_seen_or_scan
192.168.18.204,,Ubuntu Linux 20.04,29,33,4,0,66,33855.0,
192.168.1.27,,HP JetDirect,0,15,4,0,19,7443.0,
192.168.1.26,,HP JetDirect,0,15,4,0,19,7443.0,
192.168.1.28,,Linux LINUX 2.6.32 - 3.10 2.6.32,0,14,4,0,18,6838.0,
192.168.18.170,,Microsoft Windows 10,0,6,4,0,10,2558.0,
192.168.18.200,,Linux LINUX 4.15 - 5.19 4.15,0,4,1,0,5,1613.0,
192.168.18.208,,Microsoft Windows,0,3,3,0,6,1580.0,
192.168.1.207,,Linux LINUX 5.0 - 6.2 5.0,0,2,1,0,3,1098.0,
192.168.18.207,,Linux LINUX 5.0 - 6.2 5.0,0,2,1,0,3,1098.0,
192.168.50.207,,Linux LINUX 5.0 - 6.2 5.0,0,2,1,0,3,1098.0,
192.168.1.1,,Linux LINUX 3.10 - 4.11 3.10,0,2,3,0,5,1024.0,
192.168.18.1,,Linux LINUX 5.10 - 5.13 5.10,0,2,0,0,2,690.0,
192.168.18.116,,Linux LINUX 4.15 - 5.19 4.15,0,1,0,0,1,495.0,
192.168.1.115,,Microsoft Windows 10,0,1,1,0,2,395.0,
192.168.18.145,,Microsoft Windows 10,0,1,1,0,2,395.0,
192.168.18.117,,Microsoft Windows,0,0,1,0,1,0.0,
192.168.1.16,,,0,0,0,0,0,0.0,
192.168.1.19,,,0,0,0,0,0,0.0,
192.168.1.113,,,0,0,0,0,0,0.0,
192.168.1.116,,,0,0,0,0,0,0.0,
192.168.1.18,,,0,0,0,0,0,0.0,
192.168.1.119,,,0,0,0,0,0,0.0,
192.168.18.135,,,0,0,0,0,0,0.0,
192.168.18.176,,,0,0,0,0,0,0.0,
192.168.18.150,,,0,0,0,0,0,0.0,
192.168.18.210,,,0,0,0,0,0,0.0,
192.168.18.213,,,0,0,0,0,0,0.0,
192.168.18.168,,,0,0,0,0,0,0.0,
192.168.1.111,,Linux LINUX 2.6.32 - 3.5 2.6.32,0,0,0,0,0,0.0,
192.168.18.202,,Microsoft Windows,0,0,0,0,0,0.0,
